en_name,th_name,ingredients,course,province,region,,unnamed:_0,food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,unnamed:_0.1,mean,median,histogram_path,description_path,heatmap_path,group,_source_file
,,,,,,147,147,egg mix,30,2.2,0.8,0.8,0.4,0.098,0.091,2.4,0,81.5,0.012,0.1,0.078,0.092,0.091,0.085,0.069,0.093,0.073,0.3,0.034,0,0.049,0.2,0.078,12.2,0.055,0.4,1.7,0.015,31.5,27,0.043,4.876,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,148,148,falafel,57,3,0.4,1.7,0.7,5.4,0,2.3,0,0.0,0.081,5.9,0,0,0.006,0.009,0,0.074,0.2,0.011,0.010,0.3,0,0,0,9.2,0.002,0.6,13.9,0.1,32.6,99.5,0.018,10.763,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,149,149,taco salad with chili con carne,193,8.8,4,3,1,17.7,0,11.6,0,3.5,0.6,133.6,0.1,0.1,0.067,0.063,0.3,1.7,1,0.3,2.3,0,0,0,163.6,0.2,1.8,34.8,0.2,102.7,261,0.000,2.2,205.9,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,150,150,wonton wrappers,93,0.5,0.022,0.033,0.2,18.5,0,3.1,0.6,2.9,0.2,9.2,0.097,0.2,0.082,0,0.1,1.7,0.051,0.007,0,0,0,0,15,0.039,1.1,6.4,0.2,25.9,26.2,0.020,0.2,38.815,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,151,151,hushpuppies,512,20.5,3.2,5,11,69.9,3.1,11.7,4.3,68.4,1,44.1,0.074,0.5,0.1,0.008,0.5,4.2,0.5,0.2,0.3,0,1.9,0.010,422.6,0.1,4.6,36.5,0.3,287.3,218.9,0.078,1,533.994,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,152,152,chicken pot pie,598,34.6,12.6,11.9,8.3,57.3,7.2,14.6,3,51.3,1.2,191.6,0,0.2,0.1,0.024,0.030,4.5,1.1,0.2,3,0.024,1.1,0.034,63.4,0.1,1.8,33.2,0.6,226.5,317.1,0.003,1.3,177.7,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,153,153,general tsos chicken,1578,87.5,14.8,20.8,40.1,128.3,62.1,69,4.8,283.6,2.3,241.6,0.081,0.1,0.049,0.080,0.6,15.3,3.3,1.1,8.6,0.015,6.5,0.2,64.2,0.2,6.2,96.3,0.4,679.5,1075.40,0.065,7,368.673,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,154,154,burrito with beans cheese,379,11.2,4.3,2.3,4.1,57.8,3.2,13.6,7.8,9.3,1,98.4,0.033,0.4,0.2,0.081,0.2,3.7,0,0.2,0.7,0.020,1,0.020,229.4,0.3,4.4,62.9,0.8,301.6,482.9,0.040,1.6,324.946,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,155,155,vegetarian fillets,247,15.3,2.4,3.7,7.9,7.7,0.7,19.6,5.2,0.0,0.4,38.3,0,0.9,0.026,0.014,0.8,10.2,0,1.3,0,0,2.9,0,80.8,0.8,1.7,19.6,0,382.5,510,0.043,1.2,130.3,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,156,156,biscuit with egg sausage,505,33.6,10.4,16.2,4.8,34.1,1.5,18,0.3,260.8,1.1,72.1,0.071,0.5,0.035,0.083,0.4,4,1.5,0.1,0,0.047,1.5,0.042,82.6,0.4,3.1,21.1,0.2,505.4,241.4,0.002,1.5,171.757,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,157,157,chicken chow mein,513,16.9,3,3.7,7.4,50.1,10.5,40.8,6,96.6,1.9,489.3,0.093,0.2,0,0.092,0.1,8.9,1.6,1.1,12.1,0,2.6,0.1,126.8,0.2,4,66.4,0.6,326.2,749,0.086,1.9,256.797,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,158,158,fruit burrito,231,9.5,4.6,3.4,1.1,35,0,2.5,0,3.7,0.2,26.4,0,0.2,0.029,0.015,0.2,1.9,0.9,0.079,0.7,0,0,0,15.5,0.051,1.1,7.4,0.1,14.8,104.3,0.024,0.4,64.3,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,159,159,arroz con leche,369,9.3,4.8,2.6,1.1,63,38.6,8.1,1.3,20.2,0.3,170.5,0,0.088,0,0.062,0.2,0.8,1.3,0.018,0,0,0.5,0,227.7,0.030,0.6,27.8,0.3,210,359.3,0.006,1.3,310.0,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,160,160,caramel custard flan,444,12.3,5.5,3.9,1.2,69.7,70.8,13.9,0,275.4,0.2,208.2,0.1,0.092,0.036,0.050,0.6,0.3,1.6,0.1,0,0,0.7,0.081,254,0.053,1.2,27.5,0.021,293.8,361.1,0.050,1.4,351.2,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,161,161,gelatin dessert,167,0,0,0,0,38.3,36.4,3.3,0,0.0,0.2,227.9,0,0,0.064,0,0.015,0.062,0.071,0,0,0,0,0,8.1,0.087,0.094,2.7,0.021,59.4,2.7,0.079,0.014,49.792,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,162,162,chocolate milk dessert,229,1.4,0.8,0.5,0.084,51.6,51.6,5.9,0,0.0,0.1,76.7,0,0.039,0.013,0.076,0.4,0.1,0,0.074,1,0,0,0,211,0.100,0.020,61.7,0,168.5,456.2,0.053,0.6,270.99,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,163,163,chocolate mousse,338,24,13.7,7.5,1.3,24.1,22.2,6.2,0.9,210.0,0.081,94.4,0.2,0.058,0.030,0.099,0.3,0.2,0.8,0.022,0.2,0,0.8,0.044,144,0.1,0.8,30,0.023,175.5,214.5,0.047,1,200.4,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,164,164,dulce de leche,60,1.4,0.9,0.4,0.063,10.5,9.5,1.3,0,5.5,0.036,5.5,0.094,0.011,0.044,0.008,0.094,0.015,0.2,0.074,0.5,0.040,0.087,0.008,47.7,0.059,0.001,4.2,0.076,36.7,66.5,0.058,0.2,61.415,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,165,165,apple crisp,454,9.7,1.9,3.8,3.2,87,55.5,4.9,3.9,0.0,1,177.4,0.001,0.2,0.039,0,0.2,2.4,0.3,0.1,6.2,0,1.1,0.056,98.7,0.2,2.3,22.6,0.4,79,220,0.055,0.5,212.724,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,166,166,spinach spaghetti cooked,182,0.9,0.1,0.1,0.4,36.6,0,6.4,0,0.0,0.061,95.4,0,0.1,0.086,0,0.1,2.1,0.3,0.1,0,0,0,0,42,0.3,1.5,86.8,2.1,151.2,81.2,0.045,1.5,87.4,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,167,167,corn pasta cooked,176,1,0.1,0.3,0.5,39.1,0,3.7,6.7,0.0,0,95.6,0,0.074,0.015,0,0.032,0.8,0.2,0.030,0,0,0,0,1.4,0.002,0.4,50.4,0.2,106.4,43.4,0.081,0.9,52.3,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,168,168,spaghetti with meat sauce,255,2.9,1,0.9,0.9,43.1,7.4,14.3,5.1,17.0,0.7,220.2,0,0.3,0.1,0.077,3.8,0.5,0.2,0.2,15.3,0,1.4,0.002,50.9,0.4,3.5,42.5,0.6,138.7,407.5,0.061,1.4,135.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,169,169,pasta with meatballs in tomato sauce,273,13,5,5.7,0.9,28.3,7.2,10.6,6.9,23.0,0.7,199.5,0.052,0.2,0.089,0.042,0.3,5.1,0.5,0.2,7.7,0.061,2,0.027,30.6,0.2,3.3,35.7,0.6,117.3,359.6,0.023,1.5,100.474,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,170,170,cheese tortellini,332,7.8,3.9,2.2,0.5,50.8,1,14.6,2.1,45.4,0.4,32.9,0.079,0.3,0.051,0.038,0.3,2.9,0,0.015,0,0,0.2,0.087,164.2,0.053,1.6,22.7,0,229,96.1,0.064,1.1,241.181,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,171,171,pasta with sliced franks in tomato sauce,227,6,2.5,2.5,1,32,8,11,4,22.7,0.7,197.1,0.054,0.2,0.1,0.031,0.2,2.9,0.6,0.2,9.6,0.070,1.9,0.072,151.2,0.3,2.3,35.3,0.3,108.4,481.3,0.020,1.3,216.154,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,172,172,lasagna,166,6.1,2.9,2.2,0.5,18.9,3.8,9,2.1,20.9,0.5,87.2,0.2,0.074,0.096,0,0,0.025,1.9,0.4,0.2,3.1,0,1,0.080,108.2,0.1,0.9,24.6,0.2,141.5,241.1,0.001,36.675,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,173,173,macaroni cheese,310,9.4,3.1,4.2,2,43.7,3,12.6,2.3,15.1,0.9,120.2,0.2,0.015,0.3,0,0.020,0.2,2.2,0.8,0.056,0,0,1,0,160.7,0.1,2.2,28.4,0.4,442.3,151.2,0,68.319,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,174,174,vegetable lasagna,316,13.7,5.5,3.3,2.6,32.2,5.8,15.6,4.3,31.8,1,161.7,0.052,0.3,0.012,0.098,0.4,1.8,0.4,0.2,2.5,0,1,0.082,340.5,0.2,1.2,47.7,0.4,317.8,385.9,0.087,2,410.066,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,175,175,spinach egg noodles cooked,211,2.5,0.6,0.8,0.6,38.8,1.1,8.1,3.7,52.8,0.068,109.6,0.037,0.4,0.1,0.071,0.2,2.4,0.4,0.2,0,0.053,0.9,0.2,30.4,0.1,1.7,38.4,0.5,91.2,59.2,0.028,1,85.297,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,176,176,cheese lasagna,316,13,5.1,3.8,2.5,33.6,10.3,15.9,4.1,31.6,0.7,176.9,0.084,0.3,0.036,0.093,0.4,3.3,0.5,0.2,41.6,0,2.1,0.097,269.7,0.3,3.1,51,0.5,260,442.3,0.059,2.2,381.08,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,177,177,pasta with tomato sauce,176,1.8,0.4,0.3,0.5,35.1,10.1,5.6,2.3,15.1,1,207,0.071,0.099,0.1,0.018,0,0.1,3.3,0,0.1,0,0,1.6,0.083,32.8,0.1,2.3,35.3,0.4,98.3,483.8,0.065,45.091,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,178,178,spinach pasta cooked,37,0.3,0.078,0.073,0.043,7.1,0,1.4,0,9.3,0.004,19.4,0.039,0.084,0.041,0.069,0.091,0.3,0.079,0.071,0,0,0,0,5.1,0.093,0.3,6.8,0.044,16.1,10.5,0,0.2,14.201,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,179,179,vegetable chicken soup,166,4.8,1.4,2.2,1,21.1,3.4,12.3,1,16.9,0.075,201,0.050,0.069,0.090,0.031,0.2,3.3,0,0.083,5.5,0,0.7,0.054,26.5,0.2,1.5,9.6,0,106,368.7,0.038,2.2,72.737,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,180,180,bean ham soup,198,2.5,0.6,1,0.7,33.5,7.8,10.3,9.8,4.9,0.5,195.8,0,0.1,0.099,0,0.068,0.8,0.3,0.1,2.7,0,1,0.035,93.1,0.2,2.5,46.6,0.6,31.9,387.1,0.021,1.3,154.4,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,181,181,cream of chicken soup,227,14.5,4.3,5.2,2.7,18,1.4,6,0,20.2,1.8,208.5,0.1,0.064,0.027,0,0.1,1,0.5,0,0.3,0,1.4,0.052,35.3,0.3,2.7,10.1,0.2,78.1,123.5,0.084,0.7,76.9,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,182,182,tomato soup canned,139,3.3,1.8,0.8,0.3,22.6,16.5,6.3,1.5,10.1,0.5,216.7,0.014,0.036,0.097,0.061,0.3,1.4,0.5,0.2,15.9,0.070,0.5,0.083,173.9,0.2,1.4,30.2,0.2,156.2,461.2,0.067,0.9,224.932,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,183,183,egg drop soup,65,1.5,0.4,0.5,0.3,10.3,0.2,2.8,1,55.4,0.9,223.8,0.002,0.013,0.021,0,0.079,0.4,0.3,0.096,15.7,0.080,0.3,0.041,16.9,0.081,0.6,4.8,0.023,36.2,53,0.028,0.2,48.808,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,184,184,scotch broth,197,6.4,2.7,1.9,1.3,23,0,12.1,3,11.9,2.1,249.7,0,0.059,0.085,0.031,0.1,2.8,0.8,0.2,2.1,0,0.2,0,35.8,0.6,2,8.9,0.9,134.1,387.4,0.026,3.9,84.4,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,185,185,cream of onion soup,268,12.8,3.6,5.1,3.5,31.7,11.1,6.7,1.2,36.6,1.9,247.1,0.080,0.1,0.049,0,0.2,1.2,0.7,0.007,3.1,0,1.3,0.035,82.4,0.3,1.5,15.3,0.6,91.5,298.9,0.095,0.4,139.473,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,186,186,chicken broth dry,10,0.2,0.055,0.013,0.069,1.1,0,0.7,0,0.6,1.2,0.1,0,0.052,0.062,0.030,0.018,0.2,0.009,0.089,0.070,0,0.074,0,9.1,0,0.059,2.7,0.049,9.2,18,0.075,0.079,11.198,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,187,187,vegetable soup with beef broth,162,3.8,0.9,1.1,1.6,26.3,4,6,3.2,2.5,1.3,204.8,0.2,0.1,0.008,0,0.040,1.9,0.7,0.1,4.7,0,0.3,0.065,34.4,0.3,1.9,12.3,0.7,78.7,386.2,0.041,1.6,80.5,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,188,188,chili with beans canned,287,14.1,6,6,0.9,30.5,3,14.6,11.3,43.5,1.3,193.3,0,0.1,0.018,0,0.3,0.9,3.6,0.3,4.4,0,1.3,0.074,120.3,0.3,8.8,115.2,0.3,394.2,934.4,0.018,5.1,204.0,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,189,189,beef noodle soup,168,6.2,2.3,2.5,1,17.9,5.2,9.6,1.5,10.0,1.6,211.1,0.037,0.1,0.017,0.037,0.1,2.1,0.4,0.079,0.8,0,2.5,0.020,30,0.3,2.2,12.5,0.5,92.5,197.5,0.063,3.1,68.232,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,190,190,consomme dry,17,0.2,0,0,0,1.9,1.1,2.2,0,0.0,0.8,235.9,0,0.1,0.048,0,0.2,1.3,0.051,0.039,0.2,0,0.033,0,12.5,0.021,0.2,7.5,0.080,14.9,57.3,0.058,0.082,17.2,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,191,191,chicken mushroom soup,126,6.1,1.6,2.7,1.5,15.1,1,2,4,10.1,0.8,101.3,0.040,0.019,0.065,0.030,0.1,1.6,0.3,0.046,0,0,0.8,0.061,29,0.048,0.9,8.8,0.1,27.7,158.8,0.046,1,57.171,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,192,192,beef vegetable soup,120,2.9,1,0.7,0.9,15.4,3.1,8,3,17.5,0.8,220.6,0.3,0.094,0.085,0.027,0.086,2.4,0,0.3,9,0,1.1,0.040,45,0.049,1.3,25,0.2,120,435,0.002,1.4,84.9,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,193,193,black bean soup,234,3.4,0.9,1.2,1.1,39.6,6.4,12.4,17.5,0.0,2.5,193.6,0,0.1,0.2,0,0.1,1.1,0.4,0.2,0.5,0,0.9,0.035,90,0.8,3.9,84.8,1.3,192.8,642.5,0,2.8,167.3,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,194,194,split pea soup with ham bacon,189,3.1,0.9,1.2,0.6,28.6,0,11.6,4.1,4.1,1,88.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,49.5,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,195,195,cream of mushroom soup,199,13.4,2.4,3.1,7.3,17.1,1,3.4,1.8,0.0,1.7,213.4,0.057,0.020,0.008,0,0.079,0.9,0.4,0.035,0,0.071,1.3,0.024,30.2,0.016,0.5,7.6,0.028,60.5,161.3,0.093,0.3,66.404,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,196,196,green pea soup,320,5.7,2.7,1.9,0.7,51.7,16.7,16.7,10,0.0,1.7,175.5,0.067,0.2,0.072,0,0.1,2.4,0.3,0.1,3.3,0,0.5,0.024,53.8,0.7,3.8,76.8,1.3,243.2,371.2,0.099,3.3,145.005,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,197,197,chicken broth soup,78,2.6,0.8,1.2,0.6,1.9,0.9,11.1,0,2.5,1.6,231.7,0,0.054,0.092,0.067,0.1,5.6,0.1,0.035,0,0,0.048,0,15.1,0.3,1,5,0.5,151.2,428.4,0.024,0.5,31.7,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,198,198,chicken mushroom chowder soup,431,23.7,6.2,4.5,9.4,38.3,0,16.2,7.5,32.3,1.8,453.8,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,2.6,0,0,0,0,0,0,99.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,199,199,chicken dumplings soup,235,13.4,3.2,6.1,3.2,14.7,1.4,13.6,1.2,80.5,1.8,249.8,0.077,0.074,0.027,0.024,0.2,4.3,0.4,0.037,0,0,1.3,0.086,35.8,0.3,1.5,8.9,1.2,149,283.1,0.048,0.9,80.269,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,200,200,chicken vegetable soup,148,5.6,1.7,2.5,1.2,17,3,7.1,1.7,16.9,1.7,207,0.028,0.061,0.093,0.076,0.1,2.4,0.3,0.013,1.9,0,0.6,0.036,33.9,0.2,1.7,12.1,0.7,79.9,304.9,0.001,0.7,68.983,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,201,201,turkey vegetable soup,72,3,0.9,1.3,0.7,8.6,2.6,3.1,0.5,2.4,0.9,223.9,0.1,0.031,0.076,0.077,0.097,1,0.9,0.079,0,0,0.8,0.017,16.9,0.2,0.8,4.8,0.5,41,175.9,0.017,0.6,33.0,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,202,202,wonton soup,71,0.6,0.1,0.2,0.2,11.7,0.8,4.6,0.4,8.9,0.9,203.3,0.043,0.080,0.060,0.074,0.043,1.3,0.3,0.2,1.6,0,0.1,0.058,11.2,0.041,0.5,6.7,0.042,40.1,71.4,0.074,0.3,30.692,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,203,203,beef stock,31,0.2,0.003,0.1,0.005,2.9,1.3,4.7,0,0.0,0.5,230.1,0,0.044,0.038,0,0.2,2.1,0,0.1,0,0,0.048,0.024,19.2,0.1,0.6,16.8,0,74.4,444,0.019,0.4,27.6,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,204,204,mushroom barley soup,186,5.5,1.1,2.4,1.7,29.3,0,4.6,0,0.0,1.7,258.9,0,0.009,0.077,0,0.2,2.1,0.3,0.4,0,0,0,0,30.5,0.5,1.2,21.4,0.3,152.5,231.8,0,1.2,71.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,205,205,gazpacho soup,70,0.4,0.008,0.059,0.1,6.6,2.2,10.7,0.7,0.0,1.1,346,0,0.058,0.012,0,0.091,1.4,0.3,0.2,10.7,0,0.7,0.041,36.9,0.2,1.5,11.1,1.1,55.4,339.5,0.019,0.4,67.5,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,206,206,beef mushroom soup,186,7.3,3.7,3.1,0.3,15.9,0,14,0.6,15.3,2.2,260.8,0,0.071,0.044,0.035,0.2,2.7,0.6,0.1,0,0,0,0,12.2,0.6,2.1,21.4,0.9,88.5,384.3,0,3.4,52.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,207,207,chicken rice soup,127,3.2,1,1.4,0.7,13,1.4,12.3,1,12.0,0.9,208.3,0.047,0.018,0.074,0.051,0.002,4.1,0.4,0.012,3.8,0,0.6,0.084,33.6,0.2,1.9,9.6,0.2,72,108,0.077,1,68.818,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,208,208,pepperpot soup,100,4.5,2,2,0.3,9.1,0,6.2,0.5,9.7,0.9,219.8,0,0.071,0.020,0.024,0.027,1.2,0.3,0.080,1.2,0,0.097,0,26.7,0.1,0.9,4.9,0.6,41.3,148.2,0,1.2,49.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,209,209,vegetable soup,149,4,0.6,1.7,1.5,24.6,7.9,4.3,1.3,0.0,1.3,214,0,0.1,0.051,0,0.049,1.9,0.7,0.1,3,0,2.9,0.041,42.8,0.3,2.2,15.1,0.9,70.6,430.9,0.088,1,82.2,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,210,210,chili beef soup,308,6.7,3.3,2.7,0.2,49.6,13.4,13.4,6.6,26.3,2.1,186.4,0.2,0,0.1,0.004,0.067,0.2,2.1,0.6,0.3,8.2,0,2.8,0.072,86.8,0.8,4.3,50,2.1,297.2,1052.00,0.001,77.607,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,211,211,chicken soup,174,6.5,1.9,2.9,1.3,16.9,2.1,12.4,1.5,29.4,0.9,206.1,0.027,0.055,0.072,0.049,0.2,4.3,0.4,0.030,1.2,0,0.3,0.085,24.5,0.2,1.7,7.4,0.2,110.3,171.5,0.099,1,64.716,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,212,212,bean with frankfurters soup,188,7,2.1,2.7,1.7,22,0,10,0,12.5,1.1,207.6,0,0.1,0.038,0,0.018,1,0.1,0.1,1,0,0,0,87.5,0.4,2.4,47.5,0.8,165,477.5,0.073,1.2,129.9,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,213,213,pea soup,161,2.8,1.4,1,0.4,25.6,8.3,8.3,4.9,0.0,0.015,219,0.055,0.1,0.008,0,0.074,1.2,0,0.008,1.6,0,0.2,0.066,31.1,0.4,1.9,38.9,0,121.7,183.9,0.041,1.7,76.26,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,214,214,turkey soup,135,4.4,1.2,1.8,1.1,14.1,0,10.2,0,9.4,0.9,203.8,0,0.045,0.014,0.079,0.1,3.6,0.9,0.3,6.4,0,0,0,49.6,0.2,1.9,23.6,0.2,103.8,361.1,0,2.1,86.6,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,215,215,stockpot soup,201,7.8,1.7,2,3.5,23.1,0,9.8,0,7.7,2.1,211.3,0,0.002,0.092,0,0.1,2.5,0.7,0.2,4.1,0,0,0,43.9,0.3,1.8,7.7,0.5,108.4,477.3,0,2.3,90.5,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,216,216,hot sour soup,91,2.8,0.5,0.7,0.7,10.1,1,6,1.2,48.9,0.9,211.2,0.088,0.032,0.021,0.006,0.030,1.2,0.5,0.1,0,0.017,0.9,0.059,44.3,0.032,1.5,21,0.2,74.6,128.2,0.084,0.5,65.954,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,217,217,cheese soup,203,9.7,6.1,2.7,0.3,28,9.3,2,5.5,7.4,1.7,202.6,0.2,0.023,0.055,0,0.3,0.8,0.2,0.034,0,0,1.4,0.074,89.3,0.2,0.4,29.8,0.5,81.8,91.8,0.036,0.4,135.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,218,218,cream of potato soup,186,4.7,2.4,1.1,0.8,32.2,3.6,3.8,3.3,2.5,1.5,215.2,0.087,0.012,0.067,0,0.096,1.1,1.8,0.000,0.5,0,0.2,0.056,42.8,0.5,0.9,32.8,0.8,103.3,415.8,0.050,0.4,88.202,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,219,219,bean with bacon soup,106,2.1,1,0.9,0.2,16.4,0.6,5.5,9,2.7,0.9,237.8,0,0.086,0.069,0,0.3,0.4,0.084,0.099,1.1,0,0.6,0.009,55.7,0.3,1.3,29.2,0.5,90.1,326,0.015,0.7,91.1,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,220,220,fish stock,40,1.9,0.5,0.5,0.3,0,0,5.3,0,2.3,0.4,225.9,0.036,0.009,0.072,0.047,0.2,2.8,0.8,0.086,0.2,0,0.4,0,7,0.1,0.019,16.3,0.1,130.5,335.5,0.068,0.1,14.488,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,221,221,split pea soup with ham,381,8.9,3.5,3.6,1.3,56.2,0,20.7,4.6,16.2,1.7,177.3,0,0.3,0.041,0.000,0.2,3,0.5,0.1,3,0,0,0,43.2,0.7,4.6,97.2,1.4,429.3,801.9,0.081,2.7,141.2,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
,,,,,,222,222,beef broth soup,17,0.5,0.3,0.2,0.049,0.010,0,2.7,0,0.0,0.9,234.1,0,0.023,0.095,0.072,0.055,1.9,0.011,0.054,0,0,0,0,14.4,0,0.4,4.8,0.035,31.2,129.6,0.023,0,18.049,,,,,,,,data\FINAL FOOD DATASET\FOOD-DATA-GROUP1.csv
